arm,step,topic,opinion_score
control,120,environment,0.39192
control,120,healthcare,0.40113
control,120,religion,0.43353
control,120,immigration,0.42212
control,120,crime,0.46852
control,120,drugs_alcohol,0.26664
control,120,death_endoflife,0.67088
control,160,other,0.44818
control,160,race,0.47014
control,160,guns,0.48125
control,160,economy,0.45598
control,160,technology,0.44476
control,160,abortion,0.44809
control,160,family,0.46706
control,160,gender_sexuality,0.4023
control,160,politics_trust,0.43282
control,160,environment,0.41693
control,160,healthcare,0.41672
control,160,religion,0.45376
control,160,immigration,0.44256
control,160,crime,0.48076
control,160,drugs_alcohol,0.29763
control,160,death_endoflife,0.66574
control,200,other,0.45307
control,200,race,0.47767
control,200,guns,0.49159
control,200,economy,0.45988
control,200,technology,0.45429
control,200,abortion,0.45917
control,200,family,0.4733
control,200,gender_sexuality,0.41109
control,200,politics_trust,0.4352
control,200,environment,0.43032
control,200,healthcare,0.42006
control,200,religion,0.46112
control,200,immigration,0.44855
control,200,crime,0.48223
control,200,drugs_alcohol,0.29763
control,200,death_endoflife,0.63875
control,231,other,0.4517
control,231,race,0.47639
control,231,guns,0.48687
control,231,economy,0.45973
control,231,technology,0.45277
control,231,abortion,0.44711
control,231,family,0.47135
control,231,gender_sexuality,0.40618
control,231,politics_trust,0.43593
control,231,environment,0.42847
control,231,healthcare,0.42018
control,231,religion,0.46006
control,231,immigration,0.44463
control,231,crime,0.48445
control,231,drugs_alcohol,0.30224
control,231,death_endoflife,0.64716
control,232,other,0.4517
control,232,race,0.47639
control,232,guns,0.48687
control,232,economy,0.45973
control,232,technology,0.45277
control,232,abortion,0.44711
control,232,family,0.47135
control,232,gender_sexuality,0.40618
control,232,politics_trust,0.43593
control,232,environment,0.42847
control,232,healthcare,0.42018
control,232,religion,0.46006
control,232,immigration,0.44463
control,232,crime,0.48445
control,232,drugs_alcohol,0.30224
control,232,death_endoflife,0.64716
